identifier,name,has_kiosk,needs_maintenance,dock_count,docked_bike_count,address,latitude,longitude
21,Florence Bank Station,0,0,7,4,19 Meadow Street Florence MA @ Lilly Library,42.3355,-72.67399
24,Florence Center,0,0,10,2,31 Main Street Florence MA,42.33508,-72.66801
30,Jackson Street,0,0,16,8,7A-7D Jackson Street Northampton MA,42.33014,-72.64528
25,Cooley Dickinson Health Care,0,1,14,6,51 Locust Street Northampton MA,42.33211,-72.65395
29,State St/Mass Central Rail Trail,0,0,10,4,State Street/Mass Central Rail Trail,42.33725061,-72.66777804
33,Northampton High School,0,0,15,8,380 Elm Street Northampton MA,42.3238896,-72.652456
20,Village Hill/State Hospital,0,0,14,6,Village Hill/State Hospital,42.31279708,-72.64909552
26,John M Greene Hall/Smith College,0,0,16,5,1 Chapin Way Northampton MA @ John M. Greene Hall,42.3194391,-72.63818965
23,Forbes Library,0,0,13,6,20 West Street Northampton MA,42.31688181,-72.63577803
27,Pulaski Park/Downtown,1,0,11,3,274 Main Street Northampton MA at Pulaski Park,42.31815874,-72.6334449
31,Main Street/Court House,0,1,10,3,99 Main Street Northampton MA,42.31970537,-72.6305933
28,Northampton Train Station,1,0,13,5,Northampton Train Station,42.31903554,-72.62645063
32,Main Street/Bridge Street,0,0,15,8,1 Bridge Street Northampton MA,42.32067753,-72.6280986
22,YMCA/Childs Park,0,0,17,8,YMCA/Childs Park,42.32900811,-72.64387994
